Nr.,Art-Nr.,EAN-Nr.,Artikel,DE Beschreibung,CN Beschreibung,Foto,EK,UVP,VK (netto),VE,Liefereinheit,"Stückzahl pro
 Umkarton",Umkartionsgröße,,,,,Gewicht,Palettengröße,,,,,"Liefereinheit
pro Palett","Liefereinheit
pro Lage",Logo,,,
1,,,MAXI-COSI CabrioFix,Black raven,黑色,,133.52 €,259.90  €,146.87 €,,,1,,X,,X,,,,X,,X,,15,,,,,
2,,,MAXI-COSI CabrioFix,Concrete grey,灰色,,133.52 €,259.90  €,146.87 €,  ,,1,,X,,X,,,,X,,X,,15,,,,,
3,,,MAXI-COSI CabrioFix,Earth brown,棕色,,133.52 €,259.90  €,146.87 €,,,1,,X,,X,,,,X,,X,,15,,,,,
4,,,MAXI-COSI CabrioFix,Black Crystal,黑水晶,,133.52 €,259.90  €,146.87 €,,,1,,X,,X,,,,X,,X,,15,,,,,
5,,,MAXI-COSI CabrioFix,Origami red,鲜红色,,133.52 €,259.90  €,146.87 €,,,1,,X,,X,,,,X,,X,,15,,,,,
6,,,MAXI-COSI CabrioFix,Sparkling grey,灰色斑点,,133.52 €,259.90  €,146.87 €,,,1,,X,,X,,,,X,,X,,15,,,,,
7,,,MAXI-COSI CabrioFix,Watercolor blue,蓝色,,133.52 €,259.90  €,146.87 €,,,1,,,,,,,,,,,,15,,,,,
8,,,MAXI-COSI Pebble,Black raven,黑色,,149.52 €,289.90  €,164.47 €,,,1,,,,,,,,,,,,15,,,,,
9,,,MAXI-COSI Pebble,Concrete grey,灰色,,149.52 €,289.90  €,164.47 €,,,,1,,,,,,,,,,,,15,,,,
10,,,MAXI-COSI Pebble,Earth brown,棕色,,149.52 €,289.90  €,164.47 €,,,,1,,,,,,,,,,,,15,,,,
11,,,MAXI-COSI Pebble,Black crystal,黑水晶,,149.52 €,289.90  €,164.47 €,,,1,,,,,,,,,,,,15,,,,,
12,,,MAXI-COSI Pebble,Origami red,鲜红色,,149.52 €,289.90  €,164.47 €,,,1,,,,,,,,,,,,15,,,,,
13,,,MAXI-COSI Pebble,Sparkling grey,灰色斑点,,149.52 €,289.90  €,164.47 €,,,1,,,,,,,,,,,,15,,,,,
14,,,MAXI-COSI EasyFix,für CabrioFix,"适用于
CabrioFix系列适用于
CabrioFix系列适用于
CabrioFix系列适用于
CabrioFix系列适用于
CabrioFix系列适用于
CabrioFix系列适用于
CabrioFix系列适用于
CabrioFix系列",,103.92 €,179.90  €,114.31 €,,,1,,,,,,,,,,,,15,,,,,
15,,,MAXI-COSI FamilyFix,für CabrioFix/Pebble/Pearl,"适用于
CabrioFix
/Pebble/Pearl系列适用于
CabrioFix
/Pebble/Pearl系列适用于
CabrioFix
/Pebble/Pearl系列适用于
CabrioFix
/Pebble/Pearl系列适用于
CabrioFix
/Pebble/Pearl系列适用于
CabrioFix
/Pebble/Pearl系列适用于
CabrioFix
/Pebble/Pearl系列适用于
CabrioFix
/Pebble/Pearl系列",,125.52 €,239.90  €,138.07 €,,,1,,,,,,,,,,,,15,,,,,
16,,,MAXI-COSI MiloFix,Black crystal,黑水晶,,191.12 €,319.90  €,210.23 €,,,1,,,,,,,,,,,,15,,,,,
17,,,MAXI-COSI MiloFix,Origami red,鲜红色,,191.12 €,319.90  €,210.23 €,,,1,,,,,,,,,,,,15,,,,,
18,,,MAXI-COSI MiloFix,Sparkling grey,灰色斑点,,191.12 €,319.90  €,210.23 €,,,1,,,,,,,,,,,,15,,,,,
19,,,MAXI-COSI MiloFix,Earth brown,棕色,,191.12 €,319.90  €,210.23 €,,,1,,,,,,,,,,,,15,,,,,
20,,,MAXI-COSI Pearl,Black raven,黑色,,159.92 €,299.90  €,175.91 €,,,1,,,,,,,,,,,,15,,,,,
21,,,MAXI-COSI Pearl,Concrete grey,灰色,,159.92 €,299.90  €,175.91 €,,,1,,,,,,,,,,,,15,,,,,
22,,,MAXI-COSI Pearl,River blue,蓝色,,159.92 €,299.90  €,175.91 €,,,1,,,,,,,,,,,,15,,,,,
23,,,MAXI-COSI Pearl,Earth brown,棕色,,159.92 €,299.90  €,175.91 €,,,1,,,,,,,,,,,,15,,,,,
24,,,MAXI-COSI Pearl,Robin red,深红色,,159.92 €,299.90  €,175.91 €,,,1,,,,,,,,,,,,15,,,,,
25,,,MAXI-COSI Tobi,Black Raven,黑色,,140.72 €,279.90  €,154.79 €,,,1,,,,,,,,,,,,15,,,,,
26,,,MAXI-COSI Tobi,Concrete grey,灰色,,140.72 €,279.90  €,154.79 €,,,1,,,,,,,,,,,,15,,,,,
27,,,MAXI-COSI Tobi,River blue,蓝色,,140.72 €,279.90  €,154.79 €,,,1,,,,,,,,,,,,15,,,,,
28,,,MAXI-COSI Tobi,Earth brown,棕色,,140.72 €,279.90  €,154.79 €,,,1,,,,,,,,,,,,15,,,,,
29,,,MAXI-COSI Tobi,Robin red,深红色,,140.72 €,279.90  €,154.79 €,,,1,,,,,,,,,,,,15,,,,,
30,,,MAXI-COSI Tobi,Sparkling grey,灰色斑点,,140.72 €,279.90  €,154.79 €,,,1,,,,,,,,,,,,15,,,,,
31,,,MAXI-COSI Tobi,Black crystal,黑水晶,,140.72 €,279.90  €,154.79 €,,,1,,,,,,,,,,,,15,,,,,
32,,,MAXI-COSI Rodi XP2,Phantom,黑色,,67.92 €,139.90  €,74.71 €,,,1,,,,,,,,,,,,15,,,,,
33,,,MAXI-COSI Rodi XP2,Blue night,蓝色,,67.92 €,139.90  €,74.71 €,,,1,,,,,,,,,,,,15,,,,,
34,,,MAXI-COSI Rodi XP2,Shadow red,红色,,67.92 €,139.90  €,74.71 €,,,1,,,,,,,,,,,,15,,,,,
35,,,STM Starlight SP,Navy,海蓝,,112.92  €,199.95  €,124.21 €,,,1,,,,,,,,,,,,15,,,,,
36,,,STM Starlight SP,Oxxy,灰色,,112.92  €,199.95  €,124.21 €,,,1,,,,,,,,,,,,15,,,,,
37,,,STM Starlight SP,Lagoon,湖蓝,,112.92  €,199.95  €,124.21 €,,,1,,,,,,,,,,,,15,,,,,
38,,,STM Starlight SP,Rosy,粉色,,112.92  €,199.95  €,124.21 €,,,1,,,,,,,,,,,,15,,,,,
39,,,STM Starlight SP,Chilli,红色,,112.92  €,199.95  €,124.21 €,,,1,,,,,,,,,,,,15,,,,,
40,,,STM Starlight SP,Midnight,黑色,,112.92  €,199.95  €,124.21 €,,,1,,,,,,,,,,,,15,,,,,
41,,,STM Solar 2 Seatfix,Navy,海蓝,,101.62  €,179.95  €,111.78 €,,,1,,,,,,,,,,,,15,,,,,
42,,,STM Solar 2 Seatfix,Oxxy,灰色,,101.62  €,179.95  €,111.78 €,,,1,,,,,,,,,,,,15,,,,,
43,,,STM Solar 2 Seatfix,Lagoon,湖蓝,,101.62  €,179.95  €,111.78 €,,,1,,,,,,,,,,,,15,,,,,
44,,,STM Solar 2 Seatfix,Rosy,粉色,,101.62  €,179.95  €,111.78 €,,,1,,,,,,,,,,,,15,,,,,
45,,,STM Solar 2 Seatfix,Chilli,红色,,101.62  €,179.95  €,111.78 €,,,1,,,,,,,,,,,,15,,,,,
46,,,STM Solar 2 Seatfix,Midnight,黑色,,101.62  €,179.95  €,111.78 €,,,1,,,,,,,,,,,,15,,,,,
47,,,STM Solar IS Seatfix,Lagoon,湖蓝,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
48,,,STM Solar IS Seatfix,Rosy,粉色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
49,,,STM Solar IS Seatfix,Chilli,红色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
50,,,STM Solar IS Seatfix,Midnight,黑色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
51,,,RECARO Privia,Black,黑色,,101.61  €,179.95  €,111.77 €,,,1,,,,,,,,,,,,15,,,,,73.6*46.4*41.4
52,,,RECARO Privia,Graphite,石墨色,,101.61  €,179.95  €,111.77 €,,,1,,,,,,,,,,,,15,,,,,
53,,,RECARO Privia,Ruby,红色,,101.61  €,179.95  €,111.77 €,,,1,,,,,,,,,,,,15,,,,,
54,,,RECARO Privia,Mocca,深棕色,,101.61  €,179.95  €,111.77 €,,,1,,,,,,,,,,,,15,,,,,
55,,,RECARO Fix Base,für Privia,"基座，适用于
Privia系列基座，适用于
Privia系列基座，适用于
Privia系列基座，适用于
Privia系列基座，适用于
Privia系列基座，适用于
Privia系列",,79.03  €,139.95  €,86.93 €,,,1,,,,,,,,,,,,15,,,,,
56,,,RECARO Monza Nova IS,Black,黑色,,152.44  €,269.95  €,167.68 €,,,1,,,,,,,,,,,,15,,,,,45*54*67
57,,,RECARO Monza Nova IS,Graphite,石墨色,,152.44  €,269.95  €,167.68 €,,,1,,,,,,,,,,,,15,,,,,
58,,,RECARO Monza Nova IS,Ruby,红色,,152.44  €,269.95  €,167.68 €,,,1,,,,,,,,,,,,15,,,,,
59,,,RECARO Monza Nova IS,Mocca,深棕色,,152.44  €,269.95  €,167.68 €,,,1,,,,,,,,,,,,15,,,,,
60,,,RECARO Monza Nova 2 Seatfix,Black,黑色,,129.85  €,229.95  €,142.84 €,,,1,,,,,,,,,,,,15,,,,,
61,,,RECARO Monza Nova 2 Seatfix,Graphite,石墨色,,129.85  €,229.95  €,142.84 €,,,1,,,,,,,,,,,,15,,,,,
62,,,RECARO Monza Nova 2 Seatfix,Ruby,红色,,129.85  €,229.95  €,142.84 €,,,1,,,,,,,,,,,,15,,,,,
63,,,RECARO Monza Nova 2 Seatfix,Mocca,深棕色,,129.85  €,229.95  €,142.84 €,,,1,,,,,,,,,,,,15,,,,,
64,,,RECARO Young Sport Hero,Black,黑色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,69*60*50.5
65,,,RECARO Young Sport Hero,Graphite,石墨色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
66,,,RECARO Young Sport Hero,Shadow,灰色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
67,,,RECARO Young Sport Hero,Saphir,蓝色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
68,,,RECARO Young Sport Hero,Ruby,红色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
69,,,RECARO Young Sport Hero,Mocca,深棕色,,135.50  €,239.95  €,149.05 €,,,1,,,,,,,,,,,,15,,,,,
70,,,CYBEX Sirona M i-Size+i-Size Base,Mars Red-red,鲜红色-红色,,260.48 €,409.95  €,286.53 €,,,1,,,,,,,,,,,,15,,,,,
71,,,CYBEX Sirona M i-Size+i-Size Base,Royal Blue-navy blue,宝蓝色-海蓝色,,260.48 €,409.95  €,286.53 €,,,1,,,,,,,,,,,,15,,,,,
72,,,CYBEX Sirona M i-Size+i-Size Base,Phantom Grey-dark grey,黑灰色-深灰色,,260.48 €,409.95  €,286.53 €,,,1,,,,,,,,,,,,15,,,,,
73,,,CYBEX Sirona M i-Size+i-Size Base,Autumn Gold-burnt red,金色-橙色,,260.48 €,409.95  €,286.53 €,,,1,,,,,,,,,,,,15,,,,,
74,,,CYBEX Pallas M-Fix,Phantom Grey-grey,黑灰色-灰色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
75,,,CYBEX Pallas M-Fix,Princess Pink-purple,粉色-紫色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
76,,,CYBEX Pallas M-Fix,Mars Red-red,鲜红色-红色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
77,,,CYBEX Pallas M-Fix,Royal Blue-blue,宝蓝色-蓝色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
78,,,CYBEX Pallas M-Fix,Manhattan Grey-grey,浅灰色-灰色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
79,,,CYBEX Pallas M-Fix,Autumn Gold-burnt red,金色-橙色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
80,,,CYBEX Pallas M-Fix,Black Beauty-black,黑灰色-黑色,,176.21 €,279.95  €,193.83 €,,,1,,,,,,,,,,,,15,,,,,
81,,,CYBEX Pallas M-Fix,Limestone-khaki,岩灰色-卡其色,,176.21 €,279.95  €,193.83 €,,,1,,,,,,,,,,,,15,,,,,
82,,,CYBEX Pallas M-Fix,Hot & Spicy-red,鲜红-红色,,176.21 €,279.95  €,193.83 €,,,1,,,,,,,,,,,,15,,,,,
83,,,CYBEX Pallas M-Fix,Moon Dust-dark grey,浅灰色-深灰色,,176.21 €,279.95  €,193.83 €,,,1,,,,,,,,,,,,15,,,,,
84,,,CYBEX Solution M-Fix,Phantom Grey-dark grey,黑灰色-深灰色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
85,,,CYBEX Solution M-Fix,Princess Pink-purple,粉色-紫色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
86,,,CYBEX Solution M-Fix,Mars Red-red,鲜红色-红色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
87,,,CYBEX Solution M-Fix,Royal Blue-navy blue,宝蓝色-蓝色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
88,,,CYBEX Solution M-Fix,Manhattan Grey-grey,浅灰色-灰色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
89,,,CYBEX Solution M-Fix,Autumn Gold-burnt red,金色-橙色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
90,,,CYBEX Solution M-Fix,Black Beauty-black,黑灰色-黑色,,114.74 €,179.95  €,126.21 €,,,1,,,,,,,,,,,,15,,,,,
91,,,CYBEX Solution M-Fix,Hot & Spicy-red,鲜红-红色,,114.74 €,179.95  €,126.21 €,,,1,,,,,,,,,,,,15,,,,,
92,,,CYBEX Solution M-Fix,True Blue-navy blue,浅蓝色-海蓝色,,114.74 €,179.95  €,126.21 €,,,1,,,,,,,,,,,,15,,,,,
93,,,CYBEX Solution M-Fix,Moon Dust-dark grey,浅灰色-深灰色,,114.74 €,179.95  €,126.21 €,,,1,,,,,,,,,,,,15,,,,,
94,,,CONCORD Airsafe 0+, +Clip,Exklusivmodell Raven Black,高级版，黑色,,101.45 €,-,111.60 €,,,1,,,,,,,,,,,,15,,,,
95,,,CONCORD Airsafe 0+, +Clip,Exklusivmodell Chocolate Brown,高级版，棕色,,101.45 €,-,111.60 €,,,1,,,,,,,,,,,,15,,,,
96,,,CONCORD TRANSFORMER X-Bag,Exklusivmodell Raven Black,高级版，黑色,,92.03 €,-,101.23 €,,,1,,,,,,,,,,,,15,,,,,45*45*63
97,,,CONCORD TRANSFORMER X-Bag,Exklusivmodell Chocolate Brown,高级版，棕色,,92.03 €,-,101.23 €,,,1,,,,,,,,,,,,15,,,,,
98,,,CONCORD Airsafe,Tomato Red,红色,,116.91 €,219.99  €,128.60 €,,,1,,,,,,,,,,,,15,,,,,66*44*57
99,,,CONCORD Airfix Isofix,Base,"基座，适用于
Airfix系列基座，适用于
Airfix系列基座，适用于
Airfix系列",,95.90 €,169.99  €,105.49 €,,,1,,,,,,,,,,,,15,,,,,
100,,,CONCORD TRANSFORMER PRO,MIDNIGHT BLACK                ,黑色,,164.40  €,299.99  €,180.84 €,,,1,,,,,,,,,,,,15,,,,,45*45*63
101,,,CONCORD TRANSFORMER PRO,GRAPHITE GREY                 ,灰色,,164.40  €,299.99  €,180.84 €,,,1,,,,,,,,,,,,15,,,,,
102,,,CONCORD TRANSFORMER PRO,BORDEAUX RED,红色,,164.40  €,299.99  €,180.84 €,,,1,,,,,,,,,,,,15,,,,,
103,,,CONCORD TRANSFORMER PRO,WALNUT BROWN                  ,棕色,,164.40  €,299.99  €,180.84 €,,,1,,,,,,,,,,,,15,,,,,
104,,,CONCORD TRANSFORMER T,Midnight Black,黑色,,116.91 €,219.99  €,128.60 €,,,1,,,,,,,,,,,,15,,,,,45*45*63
105,,,CONCORD TRANSFORMER T,Cool Beige,米色,,116.91 €,219.99  €,128.60 €,,,1,,,,,,,,,,,,15,,,,,
106,,,CONCORD TRANSFORMER T,Ocean Blue,蓝色,,116.91 €,219.99  €,128.60 €,,,1,,,,,,,,,,,,15,,,,,
107,,,CONCORD TRANSFORMER T,Bordeaux Red,红色,,116.91 €,219.99  €,128.60 €,,,1,,,,,,,,,,,,15,,,,,
108,,,CONCORD TRANSFORMER XT ,MIDNIGHT BLACK                ,黑色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,45*45*63
109,,,CONCORD TRANSFORMER XT ,GRAPHITE GREY                 ,灰色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,
110,,,CONCORD TRANSFORMER XT ,COOL BEIGE                    ,米色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,
111,,,CONCORD TRANSFORMER XT ,WALNUT BROWN                  ,棕色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,
112,,,CONCORD TRANSFORMER XT ,ROSE PINK                     ,粉色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,
113,,,CONCORD TRANSFORMER XT ,OCEAN BLUE                    ,蓝色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,
114,,,CONCORD TRANSFORMER XT ,BORDEAUX RED,红色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,
115,,,CONCORD TRANSFORMER XT,JUNGLE GREEN                  ,绿色（限量）,,206.00  €,339.99  €,226.60 €,,,1,,,,,,,,,,,,15,,,,,
116,,,CONCORD TRANSFORMER XT ,SWEET CURRY                   ,黄色（限量）,,206.00  €,339.99  €,226.60 €,,,1,,,,,,,,,,,,15,,,,,
117,,,CONCORD TRANSFORMER XT PRO ,MIDNIGHT BLACK                ,黑色,,220.00  €,399.99  €,242.00 €,,,1,,,,,,,,,,,,15,,,,,45*45*63
118,,,CONCORD TRANSFORMER XT PRO,GRAPHITE GREY                 ,灰色,,220.00  €,399.99  €,242.00 €,,,1,,,,,,,,,,,,15,,,,,
119,,,CONCORD TRANSFORMER XT PRO,WALNUT BROWN                  ,棕色,,220.00  €,399.99  €,242.00 €,,,1,,,,,,,,,,,,15,,,,,
120,,,CONCORD TRANSFORMER XT PRO,BORDEAUX RED,红色,,220.00  €,399.99  €,242.00 €,,,1,,,,,,,,,,,,15,,,,,
121,,,CONCORD TRANSFORMER X-BAG,MIDNIGHT BLACK                ,黑色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,45*45*63
122,,,CONCORD TRANSFORMER X-BAG,GRAPHITE GREY                 ,灰色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
123,,,CONCORD TRANSFORMER X-BAG,COOL BEIGE                    ,米色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
124,,,CONCORD TRANSFORMER X-BAG,WALNUT BROWN                  ,棕色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
125,,,CONCORD TRANSFORMER X-BAG,ROSE PINK                     ,粉色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
126,,,CONCORD TRANSFORMER X-BAG,OCEAN BLUE                    ,蓝色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
127,,,CONCORD TRANSFORMER X-BAG,BORDEAUX RED,红色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
128,,,CONCORD TRANSFORMER X-BAG,JUNGLE GREEN                  ,绿色（限量）,,128.00  €,229.99  €,140.80 €,,,1,,,,,,,,,,,,15,,,,,
129,,,CONCORD TRANSFORMER X-BAG,SWEET CURRY                   ,黄色（限量）,,128.00  €,229.99  €,140.80 €,,,1,,,,,,,,,,,,15,,,,,
